7vq9q|c07jfvv c07jy05|1 0
7xdys|c07o37s c07o350 c07nywe|1 0 0
7z7hw|c07t4m0|0
80wd4|c07y92o c07y3b5 c07xybr c07xy8i c07y58d c07ydhp c07xy91 c07y2v1|0 0 0 0 0 0 0 0
bln1z|c0ndefe c0ndajx c0nea64 c0ndbwa|1 0 0 0
bm9yo|c0nh0jw c0nhdes|1 0
bntmy|c0npfvm c0nons5 c0nowi9 c0np1kl c0novv5 c0np7yq c0noonz c0npqav c0npalu c0npvox c0noma8 c0noozv c0noqxb c0nq258 c0np2kg c0np3m7 c0np42l c0nq3al c0nowcw c0noyst c0npbk5 c0noi76 c0noke5 c0nozoe c0np6i2 c0np33t c0noo2d c0np4sd c0npfwx c0npfmh c0np67h c0nprmh c0npp3l c0nqd1t c0np902 c0npczk c0npkfn c0nohy8 c0noxvs c0npgpg c0npbe4 c0npj6h c0noxlp c0nouaq c0np05m|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bof9s c0nrvj7|c0ns74c c0ns2fe|0 0
bpkof|c0nyigy c0ny03s c0o03h7 c0nxvvg|0 1 0 0
bpuo1|c0nzcjq c0nzcam c0o02jw c0o0quv c0nz2gx c0o0xdv c0nz1su c0nzhv2 c0nz1rf c0nz8yt c0nz0iv c0nz11j c0o0f21 c0nzdjw c0nzg7f|0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
brrtx|c0o9ls7 c0o92sn c0o97vq c0o9oey c0o92dd c0oabsn c0o8ziq c0oaoly c0o98mq c0o96q4 c0o985p c0o9377 c0o90pg c0o94d1 c0o95ln c0o932d c0o9dgz c0o91mh c0o94sa c0o96b0 c0o8y1r c0o93mv c0o96r5|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
btorf|c0oi7k2 c0oi29b c0oi4ys|0 1 0
bu4w9|c0oks42 c0okc5y c0ok7lx c0okdtl c0oka3n c0okhzr c0ol8qn c0omh1m c0ok2di|0 0 0 0 0 0 0 0 0
butpi|c0onnpt c0opewj c0ontdy c0onoab c0pvv2w c0onruc c0oo6yk c0onoan c0onqnb c0onnc4 c0opn6j c0oo1fo|0 0 0 1 0 0 0 0 0 0 0 0
bvn0u|c0oshkl c0os950 c0ospzr c0osb7s c0ostj9 c0osuf1 c0osbdu c0os6g5 c0osf74 c0os8jr c0os4l6 c0osk1e c0oth6m c0otihw c0osumk c0os7dz c0osriz c0orykv c0os1qj c0ot9y2 c0oslz9 c0osalw c0os7q6 c0os02o c0ot08r c0osaoc c0orz64 c0otb3a c0os4s7 c0os5di c0osq3u c0otgps c0os8vx c0ory61 c0os516 c0osbj2 c0ot6eg c0oryui c0os95r c0os5db c0osgq3 c0osx0v c0os6fz c0os48n c0os5u3 c0os7zk c0os5we c0os7co c0otgbc c0ot42l c0os8pp c0osauw c0os6j1 c0otekn c0osd32 c0os62p c0osxra c0os8lo c0ostsa c0ot20l c0oshal c0osdm5 c0otcyp c0otsbd c0ost02 c0osb6z c0os4im c0osmzp c0oseqq c0os5er c0orzd4 c0osyed c0otbx4 c0os5x6|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
bxxcr|c0p3yqa c0p4rf4 c0p43rq c0p40os c0p46t9 c0p4svf c0p3w89 c0p3xpy c0p4rfr c0p3yt5 c0p45qb c0p4yrd c0p40qp c0p407i c0p4rui c0p3udf c0p4zay c0p45cr c0p5jw0 c0p4bxx c0p3wmv c0p3ydk c0p601l c0p3t09 c0p582f c0p3q1a c0p41lo c0p4s8b c0p3x7u c0p46mp c0p45rz c0p3ptn c0p3r6m c0p3yyr c0p4k3e c0p49n4 c0p3y4s c0p4biw c0p4n7s c0p3o8o c0p4n8f c0p4u4r c0p4gs3 c0p3wyp c0p3xxy c0p67ao c0p4e7y c0p3xet c0p443a c0p4yui c0p5b8v c0p4guz c0p44zv c0p4xyu c0p49ix c0p4v6f c0p4pvw c0p4kjw c0p3ta5 c0p52sj c0p3zii c0p3uvq c0p4c35 c0p4vhn c0p4q3s c0p45h1 c0p5g0t c0p4zjx c0p45mv c0p3w7s c0p4mh5 c0p4ywg c0p46kp c0p4asw c0p4iu6 c0p4xbl c0p4hsv c0p47c7 c0p41h8 c0p43j5 c0p51fm c0p4r2d c0p4oo7 c0p3xlb c0p43xi c0p4btm c0p4jaf c0p4bmy c0p4hwt c0p4426 c0p46g1 c0p3wjo c0p3udh c0p4r6b c0p4olt c0p4n4j c0p4kv2 c0p43im c0p3vfp c0p402f c0p4olg c0p4kdw c0p3rem c0p5uax c0p3y80 c0p4ne2 c0p3ucq|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
byime|c0p8dwg|1
byf81|c0p80ec|0
hp1oz|c1x66y8|0
hq08e c1xebbp|c1xf3xx c1xf53i|1 0
hpj47|c1xacue|0
hrnx0|c1xu23u c1xsbt8|0 0
hs0x2|c1xwbto c1xvrr2 c1xvify|1 0 0
ht0ig c1y4atg|c1y4b0u c1y4cna|0 1
hsuct|c1y4p5t c1y3y8b c1y434u c1y5eip c1y4tm9 c1y3u89 c1y42r9 c1y3x7r c1y6uci c1y8ax9 c1y62qf c1y4vxi c1y4ifc c1y2v5e c1y8nrl c1y7kxh c1y4bwq c1y56xh c1y4wgv c1y55p2 c1y4gta c1y3xyi c1y4isn c1y3msj c1y41ac c1y40q2 c1y6h8i c1y42iz c1y9mt8 c1y5p7c c1y7dxs c1y5pyq c1y3voc c1y3m4f c1y4748 c1y44cj c1y3hvj c1y43mb c1y4nmr c1y3d3p c1y4ow8 c1y44vh c1y5g7z c1y2tu4 c1y468w c1y4i0m c1y2vcu c1y4k2x c1y6zyo c1y6apr c1y4crn c1y4stk c1y4cfy c1y4f2z c1y46u1 c1y6350 c1y5bmf c1y4m1j c1y6qah c1y5qwa c1y7961 c1y60ex c1y4em8 c1y57bl c1y52en c1y30x1 c1y6538 c1y66bm c1y50u4 c1y39z2 c1y72re c1y41qv|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
htzpx|c1yd73i|0
htjpg|c1ya4mq c1y9pf3 c1yaf3l c1y91s4 c1yd4wc|0 0 0 0 0
hup6k|c1ykbex c1yleax c1ym29s c1ym7sd c1yo27f|0 0 0 0 0
hujgx|c1ym2k7 c1yhuvr c1yknxa c1yhkpq c1yjdoa c1yo9y6 c1ykezh c1ym182 c1yigze c1ykrv1 c1yka78 c1yhgh9 c1yll0u c1yia0s c1yjsqf c1yj7gp c1yl31m c1yl39z c1yn480 c1yhx5y c1yjwl8 c1ymp67 c1yjep7 c1ykvr8 c1yka6y|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
huf60|c1ygodn|1
hvj7y|c1ypjjp c1yq1s3 c1yssai|0 0 0
hxq7q|c1z9ovu c1z8yaj c1z9tdk c1z9cu5 c1zdt88|1 0 0 0 0
i0jmz|c1zw38s|1
i08qc|c1zt64w c1zt82q c1zvlzv c1zumjt c1ztelp c1zxg0a|0 0 0 1 0 0
i08mx|c1zxr37 c1zzjps c1zukgn c1zthbn c1zvk3c c1zw0k0 c1zth49 c1ztl4v c1ztju9 c1zvh1q c1ztlmn c1zuxtu c1zum3w c1zvf56 c1ztmsn|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
i1n8j c206482|c206qf7|0
i1dve|c205w7h c20abci c2055fl c203qvs c204n0j c203y4a c203iy2 c207zd1 c2083tx c2069su c2052bd c203ksm c204fnt c204l08 c202z4l|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
i111c|c2004xh c2006xi|0 0
i207r|c20cz8o c209ym9 c20d6pi c209rto c20aunb c2099fh c20db2m c20aogf c209tvc c20aaiw c20e7zi c20asem c20back c20a9x4 c20b3ci c20b1mh c209zqe c209cru c208lpd c2095lv c20ay4j c20apv6 c20dp4k c209vnl c20cvdh|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
